run_id,row_id,phase,action,before,after,reason,confidence,timestamp
087a4f42-8f81-46e7-a267-39230f652f8b,,SYSTEM,BASELINE_CHECK,,"{'system': 'Darwin', 'machine': 'arm64', 'ram_total_gb': 64.0, 'ram_available_gb': 47.57, 'ram_percent': 25.7, 'cpu_cores': 16, 'logical_cpus': 16}",Startup diagnostics,,2026-01-14T11:01:39.536857+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,ORCHESTRATOR,PHASE_Start,,,Phase 0: Security Scan,,2026-01-14T11:01:39.537055+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,SECURITY_CHECK_START,,,Running defense-in-depth security checks on: FULL SYSTEM TEST.csv,,2026-01-14T11:01:39.537092+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,FILE_SIZE_OK,,,File size 0.00 MB within limits,,2026-01-14T11:01:39.537132+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,EXTENSION_VALIDATED,,,File extension '.csv' is supported.,,2026-01-14T11:01:39.537167+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,MAGIC_BYTES_VALIDATED,,,File signature validated for .csv,,2026-01-14T11:01:39.537340+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,MALWARE_SCAN_COMPLETE,,,No malware patterns detected,,2026-01-14T11:01:39.537409+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,HASH_CHECK_PASSED,,,File hash not found in threat database.,,2026-01-14T11:01:39.537471+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SECURITY,SANITIZATION_COMPLETE,,,SECURITY_EVENT: Sanitized 1 potential injection cells.,,2026-01-14T11:01:39.537739+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,ORCHESTRATOR,PHASE_Start,,,Phase 0: Validation,,2026-01-14T11:01:39.537774+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,SETUP,VALIDATION_SUCCESS,,,"File sanitized_input.csv passed validation. Columns: ['id', 'first_name', 'last_name', 'email', 'phone', 'job_title', 'company']",,2026-01-14T11:01:39.540032+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,ORCHESTRATOR,PHASE_Start,,,Phase 1: Deterministic,,2026-01-14T11:01:39.540297+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_1,START,,,Processing 20 rows,,2026-01-14T11:01:39.540337+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_1,FIELD_MAPPING,,,"Detected mappings: {'id': 'currency', 'first_name': 'first_name', 'last_name': 'last_name', 'email': 'email', 'phone': 'phone', 'job_title': 'job_title', 'company': 'company', '_line_number': 'currency'}",,2026-01-14T11:01:39.540943+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_1,SCHEMA_EXPECTATIONS,,,"Expected Fields: {'email': True, 'phone': True}",,2026-01-14T11:01:39.542309+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,00c2c924-57af-43d6-a2fc-d2233d261182,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542431+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,ca0e71e4-bca4-441d-8f75-32a9ee3770d5,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542471+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,240d7a52-7566-4b1c-a93a-74ef0110ce32,PHASE_1,ROW_PROCESSED,,RowStatus.AI_REQUIRED,,0.5,2026-01-14T11:01:39.542506+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,be2f2fa8-1e37-4d27-a2f8-39765d6d06a2,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542538+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,051e227d-316b-4b07-952d-2e8d43282eec,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542568+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,2a6c96ba-00b9-4fa6-ada8-2e37e8052e5f,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542598+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,cf96d7f9-8728-4edb-a835-59037523c5c1,PHASE_1,ROW_PROCESSED,,RowStatus.AI_REQUIRED,,0.0,2026-01-14T11:01:39.542628+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,3d910dfe-a567-442c-ab73-aecf3d2f0b9b,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542656+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,86f0b612-9650-4516-b912-bce463efe8c7,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542684+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,cbb85c0c-a8dc-4f1a-96e7-3d777e2b5450,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542713+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,8dda9006-520e-449a-806b-4a7056837fe7,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542741+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,a7a85ad0-60c8-4db9-a607-886ab5a380e6,PHASE_1,ROW_PROCESSED,,RowStatus.AI_REQUIRED,,0.0,2026-01-14T11:01:39.542791+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,3886081a-ef76-4820-a056-1b8afd4ac1ec,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542822+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,5ce5d28b-dc0e-4953-941d-96af8f221240,PHASE_1,ROW_PROCESSED,,RowStatus.AI_REQUIRED,,0.4,2026-01-14T11:01:39.542853+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,b2754770-14c0-4e7f-984a-5b4221828aed,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542884+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,b1ec62b4-e112-469f-8da5-d67ff06ce10b,PHASE_1,ROW_PROCESSED,,RowStatus.AI_REQUIRED,,0.5,2026-01-14T11:01:39.542914+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,0cb5229e-b178-4e77-82bb-57c09075bcd9,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542944+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,89399816-52b8-4912-9d4d-e4ebb09c21d8,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.542974+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,bdfb7a97-12f5-4194-8119-c85a852b4bcb,PHASE_1,ROW_PROCESSED,,RowStatus.CLEAN,,1.0,2026-01-14T11:01:39.543004+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,d56f446d-02f6-4c73-9993-a8438a2c66db,PHASE_1,ROW_PROCESSED,,RowStatus.AI_REQUIRED,,0.5,2026-01-14T11:01:39.543034+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_1,COMPLETE,,,,,2026-01-14T11:01:39.543062+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,ORCHESTRATOR,GATE_CHECK,,,Running Phase 1 Tests,,2026-01-14T11:01:39.543091+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,ORCHESTRATOR,GATE_PASSED,,,,,2026-01-14T11:01:39.726115+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,ORCHESTRATOR,PHASE_Start,,,Phase 2: Semantic,,2026-01-14T11:01:39.726336+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_2,START,,,Processing 20 rows,,2026-01-14T11:01:39.726430+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_2,MODEL_SELECT,,,Small batch (6 rows). Using 70B model for quality.,,2026-01-14T11:01:39.726505+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_2,MODEL_LOAD_START,,,mlx-community/Meta-Llama-3.1-70B-Instruct-4bit,,2026-01-14T11:01:39.726607+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,,PHASE_2,MODEL_LOAD_COMPLETE,,,,,2026-01-14T11:01:46.588866+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,240d7a52-7566-4b1c-a93a-74ef0110ce32,PHASE_2,ROW_RESOLVED,,,,0.8,2026-01-14T11:02:07.223769+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,cf96d7f9-8728-4edb-a835-59037523c5c1,PHASE_2,ROW_RESOLVED,,,,0.8,2026-01-14T11:02:26.415481+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,a7a85ad0-60c8-4db9-a607-886ab5a380e6,PHASE_2,ROW_RESOLVED,,,,0.8,2026-01-14T11:02:46.034041+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,5ce5d28b-dc0e-4953-941d-96af8f221240,PHASE_2,ROW_RESOLVED,,,,0.8,2026-01-14T11:03:05.846855+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,b1ec62b4-e112-469f-8da5-d67ff06ce10b,PHASE_2,ROW_RESOLVED,,,,0.8,2026-01-14T11:03:25.163116+00:00
087a4f42-8f81-46e7-a267-39230f652f8b,d56f446d-02f6-4c73-9993-a8438a2c66db,PHASE_2,ROW_RESOLVED,,,,0.8,2026-01-14T11:03:36.344169+00:00
